date,word,jumbles
2021-06-08 12:40:00,conversation,['conservation']
2021-06-08 12:40:00,answers,['rawness']
2021-06-08 12:40:00,density,['destiny']
2021-06-08 12:40:00,fighter,['freight']
2021-06-08 12:40:00,english,['shingle']
2021-06-08 12:40:00,garden,"['danger', 'gander', 'ranged']"
2021-06-08 12:40:00,hatred,['thread']
2021-06-08 12:40:00,strap,"['parts', 'traps']"
2021-06-08 12:40:00,super,['purse']
2021-06-08 12:40:00,friend,['finder']
2021-06-08 12:40:00,steven,['events']
2021-06-08 12:40:00,penis,"['snipe', 'spine', 'pines']"
2021-06-08 12:40:00,steal,"['teals', 'stale', 'tales', 'tesla']"
2021-06-08 12:40:00,plugins,['pulsing']
2021-06-08 12:40:00,anger,['range']
2021-06-08 12:40:00,ropes,"['pores', 'spore']"
2021-06-08 12:40:00,tacos,"['coats', 'ascot', 'coast']"
2021-06-08 12:40:00,west,"['stew', 'wets']"
2021-06-08 12:40:00,kaden (kande like the last name),['naked']
2021-06-08 12:40:00,daniel,"['denial', 'nailed']"
2021-06-08 12:40:00,pots,"['tops', 'stop', 'post']"
2021-06-08 12:40:00,mother,['thermo']
2021-06-08 12:40:00,film,['milf']
2021-06-08 12:40:00,caden,['dance']
2021-06-09 02:08:00,dream,"['madre', 'armed']"
2021-06-09 02:08:00,steak,"['stake', 'takes']"
2021-06-09 02:08:00,sleep,['peels']
2021-06-10 11:47:00,shower,['whores']
2021-06-10 11:47:00,bella,['label']
2021-06-12 02:01:00,deep,['peed 😆']
2021-06-12 02:01:00,harry om,['marry ho']
2021-06-13 02:09:00,table,['bleat']
2021-06-13 02:09:00,tablet,['battle!!']
2021-06-13 02:09:00,brides,['debris']
2021-06-14 15:48:00,bahia,['habia']
2021-06-14 15:48:00,sample,['maples']
2021-06-17 20:36:00,fbi,['fib']
2021-06-17 20:36:00,piss,['sips']
2021-06-17 20:36:00,mucky boots,['cum book sty']
2021-06-18 13:13:00,browse,['bowser']
2021-06-18 13:13:00,exists,['sexist']
2021-06-18 13:13:00,'ariom (how pirates say it),"['mario', 'moira', 'maori']"
2021-06-19 02:14:00,name,"['mean', 'mane', 'amen']"
2021-06-19 02:14:00,rental,"['learnt', 'antler']"
2021-06-21 12:42:00,no,['on']
2021-06-21 12:42:00,nope,"['open', 'peon']"
2021-06-21 12:42:00,worse,"['swore', 'sower']"
2021-06-21 12:42:00,search,"['arches', 'chaser']"
2021-06-21 12:42:00,fifty-ones,['yiff stone']
2021-06-21 12:42:00,groan,"['organ', 'argon']"
2021-06-21 12:42:00,wrong,['grown']
2021-06-21 12:42:00,rock,['cork']
2021-06-21 12:42:00,gorb ray,['rob gary']
2021-06-21 12:42:00,subtle,['bustle']
2021-06-21 12:42:00,spider,['prides']
2021-06-21 12:42:00,three,['there']
2021-06-21 12:42:00,pride,['riped']
2021-06-22 17:42:00,slicer,['relics']
2021-06-22 17:42:00,atom,['moat']
2021-06-22 17:42:00,right,['girth']
2021-06-22 17:42:00,route,['outer']
2021-06-24 18:40:00,notices,['section']
2021-06-24 18:40:00,action,['cation']
2021-06-24 18:40:00,maid,['amid']
2021-06-25 23:45:00,bloused,['doubles']
2021-06-26 01:08:00,reclaim,['miracle']
2021-06-26 01:08:00,sex american,['maxes an icer']
2021-06-26 01:08:00,sixty nine emails,['sex ninety mails']
2021-06-26 01:08:00,castle,['cleats']
2021-06-28 17:54:00,asher,"['share', 'shear', 'hares', 'hears']"
2021-06-28 17:54:00,rap,['par']
2021-06-28 17:54:00,bar,['bra']
2021-06-28 17:54:00,one,['eon']
2021-06-28 17:54:00,raps,"['spar', 'rasp', 'pars']"
2021-06-28 17:54:00,parsley,"['players', 'replays', 'sparely']"
2021-06-28 17:54:00,deserver,['reserved']
2021-06-28 17:54:00,desserts,['stressed']
2021-06-28 17:54:00,art,"['rat', 'tar']"
2021-06-28 17:54:00,arts,"['rats', 'tars', 'star']"
2021-06-28 17:54:00,optic,['topic']
2021-06-28 17:54:00,protic,['pictor']
2021-06-29 13:53:00,martial,['marital']
2021-06-29 13:53:00,arson,['sonar']
2021-07-03 14:48:00,point,['pinto']
2021-07-03 14:48:00,cures,['curse']
2021-07-03 14:48:00,lamer,['realm']
2021-07-03 14:48:00,credit,['direct']
2021-07-03 14:48:00,mason,['moans']
2021-07-03 14:48:00,throb,['broth']
2021-07-03 14:48:00,analers (is this a word 🤔 ),['arsenal']
2021-07-03 14:48:00,roles,['loser']
2021-07-03 14:48:00,teachers,['cheaters']
2021-07-03 14:48:00,this,"['shit', 'hits', 'sith']"
2021-07-03 14:48:00,named,['amend']
2021-07-03 14:48:00,wrote,['tower']
2021-07-03 14:48:00,tire,"['tier', 'rite']"
2021-07-03 14:48:00,boss,['sobs']
2021-07-03 14:48:00,recurse,"['rescuer', 'securer']"
2021-07-04 01:00:00,dozen,['zoned']
2021-07-04 01:00:00,chum,['much']
2021-07-04 01:00:00,teens,['tense']
2021-07-04 01:00:00,hornet,['throne']
2021-07-06 12:09:00,sphere,['herpes']
2021-07-11 02:57:00,strut,['trust']
2021-07-11 02:57:00,master,['stream']
2021-07-17 18:32:00,reset,"['steer', 'trees', 'ester', 'terse']"
2021-07-18 18:30:00,legume,['glue me']
2021-07-20 20:54:00,kindle,['linked']
2021-07-22 18:22:00,points,['piston']
2021-07-23 17:26:00,clover,['velcro']
2021-07-25 18:22:00,brief,['fiber']
2021-07-26 22:04:00,carb,['crab']
2021-08-03 15:33:00,creation,['reaction']
2021-08-03 15:33:00,antler,['rental']
2021-08-07 01:46:00,armed,"['madre', 'dr*am']"
2021-08-10 03:23:00,march,['charm']
2021-08-10 03:23:00,gabe lewis (character from the office),['wise bagel']
2021-08-17 23:35:00,cuter,['truce']
2021-08-19 22:16:00,sex daily,['dyslexia']
2021-08-19 22:16:00,poster,"['tropes', 'repost']"
2021-08-30 12:45:00,agte,['gate']
2021-09-17 20:05:00,fbi,['fib']
2021-09-17 20:05:00,undertale,['deltarune']
2021-09-17 20:05:00,|nut dealer||,['nude alert||courtesy of aaru']
2021-09-18 23:24:00,males,"['salem', 'meals', 'lames']"
2021-10-02 13:00:00,however,['whoever']
2021-10-02 13:00:00,doe,['ode']
2021-10-02 13:00:00,acre,"['race', 'care']"
2021-10-03 12:32:00,also,['laos']
2021-10-03 12:32:00,louse,['seoul']
2021-10-20 22:15:00,evelyn,['evenly']
2021-10-20 22:15:00,nidhi,['hindi']
2021-11-03 10:21:00,raft,"['fart', 'frat']"
2021-11-12 02:06:00,dosa,['soda']
2021-11-13 22:07:00,aarush,['ashura']
2021-11-22 12:35:00,latitude,['altitude']
2021-12-21 01:39:00,hustlers,"['ruthless', 'hurtless']"
2021-12-21 01:39:00,part,['8. ade']
2021-12-21 01:39:00,|taped||,['9. bidd']
2021-12-21 01:39:00,|binded||,['0. elb']
2022-01-04 01:40:00,postman,['tampons']
2022-01-15 01:33:00,deepest,"['deepset', 'steeped']"
2022-01-16 23:41:00,despair,"['diapers', 'aspired', 'praised']"
2022-01-16 23:41:00,wonderful,['fun wordle']
2022-01-17 03:11:00,penal,"['plane', 'nepal']"
2022-01-17 03:11:00,planes,['naples']
2022-01-17 03:11:00,weldor,['wordle']
2022-01-17 03:11:00,newark,['wanker']
2022-01-19 01:12:00,tripodic,['diprotic']
2022-01-21 15:51:00,baker,"['break', 'brake']"
2022-01-21 15:51:00,serve,"['sever', 'verse']"
2022-01-23 02:37:00,pearl,['paler']
2022-01-23 02:37:00,patel,"['petal', 'plate', 'pleat']"
2022-01-23 02:37:00,resist,['sister']
2022-01-24 02:09:00,snarled,['slander']
2022-01-25 12:55:00,issue,['susie']
2022-01-25 12:55:00,mango,['among']
2022-01-26 21:40:00,harpies,['sharpie']
2022-01-26 21:40:00,dentals,['slanted']
2022-01-28 01:38:00,marble,['ramble']
2022-02-02 16:55:00,large,"['regal', 'glare']"
2022-02-03 12:53:00,groan,"['organ', 'rogan', 'argon']"
2022-02-05 18:35:00,robes,"['sober', 'bores']"
2022-02-05 18:35:00,singlet,"['tingles', 'glisten']"
2022-02-05 18:35:00,butlers,['subtler']
2022-02-07 12:48:00,coronavirus,['carnivorous']
2022-02-07 12:48:00,tassel,"['slates', 'teslas', 'steals']"
2022-02-07 12:48:00,slate,"['tesla', 'least', 'tales', 'stale', 'steal']"
2022-02-07 12:48:00,tessa,"['asset', 'seats', 'tasse']"
2022-02-07 12:48:00,unite,['untie']
2022-02-07 12:48:00,swede,['weeds']
2022-02-07 12:48:00,diaper,"['paired', 'repaid']"
2022-02-07 12:48:00,fires,['fries']
2022-02-07 12:48:00,filer,"['lifer', 'flier', 'rifle']"
2022-02-11 02:00:00,abroad,['aboard']
2022-02-11 02:00:00,integral,"['alerting', 'altering', 'relating', 'triangle']"
2022-02-11 02:00:00,integrals,"['gnarliest', 'triangles']"
2022-02-11 02:00:00,drive,['diver']
2022-02-12 17:06:00,ape,['pea']
2022-02-12 17:06:00,being,['binge']
2022-02-13 17:34:00,mascara (esp),['camaras']
2022-02-13 17:34:00,mascara (ing),['maracas']
2022-02-17 01:42:00,trans,['trnas']
2022-02-19 18:02:00,endow,['owned']
2022-02-21 17:57:00,tutor,['trout']
2022-02-21 17:57:00,regina,['regain']
2022-02-23 18:58:00,float,['aloft']
2022-02-25 12:29:00,cabron (stole from vedh sorry),['carbon']
2022-02-28 02:31:00,remain,['marine']
2022-03-01 20:04:00,sauce,['cause']
2022-03-01 20:04:00,sonic,"['coins', 'icons', 'scion']"
2022-03-01 20:04:00,beard,['bread']
2022-03-01 20:04:00,pat,"['tap', 'apt']"
2022-03-01 20:04:00,pats,"['spat', 'taps', 'past']"
2022-03-01 20:04:00,parties,"['pirates', 'traipse']"
2022-03-01 20:04:00,aspire,['praise']
2022-03-01 20:04:00,aspires,['praises']
2022-03-01 20:04:00,rupees,['peruse']
2022-03-01 20:04:00,aspirer,"['repairs', 'raspier', 'rapiers', 'parries', 'praiser']"
2022-03-02 02:40:00,closest,['closets']
2022-03-02 02:40:00,god,['dog']
2022-03-02 02:40:00,was,['saw']
2022-03-02 02:40:00,wed,['dew']
2022-03-02 02:40:00,sign,"['sing', 'gins']"
2022-03-02 02:40:00,mad,['dam']
2022-03-02 02:40:00,map,"['amp', 'pam']"
2022-03-02 02:40:00,maps,['spam']
2022-03-02 02:40:00,spasm,['spams']
2022-03-02 02:40:00,binder,['inbred']
2022-03-02 02:40:00,poos,['oops']
2022-03-02 02:40:00,pees,['seep']
